name,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Act II: Marzipan,3CeqsH1Uls4xzHDg6E1ky6,0.463,0.0585,-28.66,0.0501,0.954,136.702,0.161,0.506
Act II: Waltz of the Flowers,0PnjW4QVZFpU27VvmWH1LC,0.301,0.102,-20.387,0.0395,0.942,67.923,0.121,0.156
Carol of the Bells,4tHqQMWSqmL6YjXwsqthDI,0.418,0.106,-22.507,0.0448,0.994,46.718,0.179,0.8
El Burrito Sabanero,0VjwMionfKCxjLBKk8of0R,0.787,0.482,-10.784,0.0435,0.687,100.008,0.0549,0.791
Aguinaldo Criollo,6mMWlJiYmj0HolJ6G3TnmJ,0.5,0.868,-4.324,0.0563,0.0771,125.035,0.229,0.882
Tun Tun. ¿Quién es?,0CxI5SieeBkeBkrzs9lOo3,0.853,0.43,-13.577,0.0441,0.592,96.139,0.0481,0.968
Viejo Año,5NnEF9t6yzNAIGpfOfgdo5,0.683,0.841,-6.813,0.209,0.177,75.841,0.0815,0.912
Amparito,6yp5zFkZs38MNC9FO3koqL,0.542,0.783,-7.439,0.0821,0.0717,107.436,0.0918,0.974
Palo Palo,4pjxdtTECX5Yk5CWdnG50F,0.636,0.976,-5.206,0.0506,0.177,102.643,0.0414,0.966
La Negra del Tamunangue,15OPftYJfpk1tVtHpqOmOO,0.509,0.93,-6.922,0.105,0.304,173.998,0.0574,0.971
Orinoco,5SUVfiLyUq1bfe0CuruGT0,0.709,0.946,-5.802,0.0498,0.441,100.642,0.0879,0.962
El Negrito Fullero,5uAiSwv4MMhFomqQ6uTDQj,0.591,0.947,-6.485,0.041,0.573,170.123,0.107,0.963
El Cañonazo,7rlVaMyvZAXwMAynTwVS7J,0.696,0.846,-9.935,0.0807,0.52,112.98,0.0987,0.933
Faltan Cinco pa' las Doce,0OmHK2TX4TwSVKZqoRZiAw,0.598,0.616,-15.628,0.0849,0.557,80.895,0.315,0.962
Noche de Paz,7DrbFOemS2zws8EfGBuiPd,0.203,0.188,-12.903,0.0364,0.906,80.148,0.339,0.0956
El Tamborilero,4js5hhbuJXOKJPK0341GUo,0.658,0.297,-12.323,0.0307,0.0994,120.942,0.128,0.547
Espléndida Noche,5Drng6eXMuJZeLBd2HWMMw,0.515,0.427,-11.029,0.0325,0.615,175.919,0.172,0.952
Fuego al Cañón,6dvYYWQHGnlQc1gA4tCWRR,0.629,0.288,-16.072,0.62,0.358,176.025,0.925,0.775
Si la Virgen Fuera Andina,1A6WrJsaDZsWtUuBVKG07C,0.634,0.495,-11.902,0.0509,0.666,181.526,0.0992,0.967
A Ti Te Cantamos,2zI8WRK9gdCaqW1AKfuBym,0.59,0.43,-12.277,0.0327,0.452,140.051,0.112,0.797
Niño Lindo,5TGomxrerdok3IH1FKmlwa,0.584,0.609,-11.949,0.0305,0.728,147.041,0.0405,0.953
Din Din Din,71JRLargcIpGuAC4zlqgHH,0.647,0.515,-13.012,0.0334,0.287,165.071,0.0783,0.97
Corre Caballito,5llKJski9sTMNw2A8RhywN,0.759,0.282,-14.747,0.0388,0.896,130.055,0.176,0.802
The Christmas Song (Chestnuts Roasting On an Open Fire),1XOy66nSLvEVtomeYBVQgf,0.249,0.22,-14.779,0.0398,0.812,84.366,0.151,0.347
Little Saint Nick - 2008 Stereo Mix,5b4mNaoXqDCBFqHYCOih5N,0.507,0.621,-5.798,0.0301,0.286,131.247,0.065,0.959
Silver Bells,424crXKFDE0iCz3QHhqOE6,0.711,0.302,-12.886,0.0344,0.837,131.431,0.122,0.515
On Christmas Day,33v89GgdeWTyQSx1XtLum1,0.683,0.652,-6.84,0.0268,0.413,112.627,0.0991,0.854
"December (Based on ""September"")",6z26LTXBJFIPdpgYIl3JDM,0.655,0.911,-3.093,0.0304,0.0894,125.047,0.222,0.972
Dream A Little Dream Of Me,3Bbbz0IGORWZSLf9UqsAL4,0.631,0.127,-15.333,0.0949,0.939,76.559,0.0732,0.322
The Christmas Song (Merry Christmas To You),5humEOJehpAwMJEJmb0JJ2,0.31,0.095,-17.828,0.0366,0.904,72.76,0.128,0.188
Christmas Time Is Here - Vocal,4LDeMS9KBfmSbL6tQpgv1W,0.388,0.145,-19.697,0.0318,0.978,75.474,0.0997,0.0911
What Christmas Means To Me,2qoZNAP3JLyIOtbsPtBjvV,0.478,0.542,-10.135,0.0367,0.244,167.486,0.0839,0.821
Have Yourself A Merry Little Christmas - Remastered,2FPfeYlrbSBR8PwCU0zaqq,0.262,0.137,-15.235,0.0344,0.913,92.183,0.267,0.288
Do You Hear What I Hear?,4EZUcj7c8n9pWIwHqN0DoH,0.489,0.328,-10.892,0.0261,0.891,100.83,0.307,0.405
"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",6s2wpWPFPAgKg2LXxi1Oee,0.357,0.668,-8.444,0.0479,0.362,139.986,0.727,0.407
Underneath the Tree,3nAp4IvdMPPWEH9uuXFFV5,0.509,0.812,-5.438,0.0537,0.0013,159.876,0.214,0.689
Christmas Canon,3phI7TGcEzo4amu4ri3Ogi,0.352,0.211,-13.004,0.031,0.846,132.977,0.172,0.152
